trial_id,condition,noise_seed,offset_id,start_radius,start_angle_rad,start_x,start_y,status,success,transition_time,first_entry_time,relapse,control_cost_l2,control_effort_l1,endpoint_x,endpoint_y,endpoint_distance_to_c2,endpoint_nearest_cluster,min_distance_to_c2,path_length,steps_completed
O01-N07-minimal_control,minimal_control,7,1,0.2,0.0,11.2,28.5,SUCCESS,True,4.04,4.08,False,0.40000000000000324,2.0000000000000013,13.301401413095142,25.824366576713828,0.2651197806573963,C2,0.16649342054115895,7.6040143566317315,1250
O01-N07-capture_hook_lock_off,capture_hook_lock_off,7,1,0.2,0.0,11.2,28.5,SUCCESS,True,1.18,1.2,False,2.85270377475637,1.8207039866947743,13.301401413095029,25.824366576713697,0.2651197806575685,C2,0.029411296686714307,6.1083753618438745,1250
O01-N07-capture_hook_lock_on,capture_hook_lock_on,7,1,0.2,0.0,11.2,28.5,SUCCESS,True,1.18,1.2,False,3.5633137266823467,5.890426820679478,13.402938595198282,25.894078861827037,0.14366698929795546,C2,0.016576993724455893,6.067822698061787,1250
O02-N00-free_field,free_field,0,2,0.2,0.7853981633974483,11.14142135623731,28.64142135623731,TIMEOUT,False,,,False,0.0,0.0,10.611727599005524,32.5513131294425,7.159736111223098,C3,3.5411862419251547,5.301607319943188,1250
O02-N00-minimal_control,minimal_control,0,2,0.2,0.7853981633974483,11.14142135623731,28.64142135623731,SUCCESS,True,19.0,19.06,False,0.40000000000000324,2.0000000000000013,13.30535375464294,25.825307285193297,0.2615429323039274,C2,0.16014985644739174,10.260959618673702,1250
O02-N00-capture_hook_lock_off,capture_hook_lock_off,0,2,0.2,0.7853981633974483,11.14142135623731,28.64142135623731,SUCCESS,True,1.34,1.36,False,3.1682209779595647,2.043236069408355,13.305354093340943,25.82530935362005,0.26154129867340475,C2,0.03598414202319158,6.411198915680453,1250
O02-N00-capture_hook_lock_on,capture_hook_lock_on,0,2,0.2,0.7853981633974483,11.14142135623731,28.64142135623731,SUCCESS,True,1.34,1.36,False,3.880798004870522,6.10966732244872,13.407535819298689,25.89339854450563,0.14111518354267563,C2,0.022948730027640116,6.355776345946746,1250
O02-N01-free_field,free_field,1,2,0.2,0.7853981633974483,11.14142135623731,28.64142135623731,TIMEOUT,False,,,False,0.0,0.0,10.56663716438418,32.50938745413007,7.139799895890504,C3,3.5404381029841825,5.268034117599248,1250
O02-N01-minimal_control,minimal_control,1,2,0.2,0.7853981633974483,11.14142135623731,28.64142135623731,SUCCESS,True,20.44,20.48,False,0.40000000000000324,2.0000000000000013,13.304318494267031,25.827849712309824,0.2606280361698109,C2,0.16833398711125852,10.350001566996465,1250
O02-N01-capture_hook_lock_off,capture_hook_lock_off,1,2,0.2,0.7853981633974483,11.14142135623731,28.64142135623731,SUCCESS,True,1.36,1.36,False,3.1428294379046995,2.0360274438223036,13.30427701050112,25.827871424633866,0.2606448447139389,C2,0.03504367496405236,6.3752292590753035,1250
