corpus,carrier_id,series_id,pair,cut,actuator,cycle,value_kind,value_deg,n2_signed_centideg,block2_abs_mod100,station11_hit,n3_signed_millideg,block3_last2_abs_mod100
KAPPA_CYCLE_36,kappa|P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1|c2,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,P10_BEFORE_AFTER_EQ,B_MINUS_A,1,2,paired_cycle_kappa_deg,-0.5008397344844866,-50,50,0,-501,1
KAPPA_CYCLE_36,kappa|P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1|c3,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,P10_BEFORE_AFTER_EQ,B_MINUS_A,1,3,paired_cycle_kappa_deg,-0.3977491602457235,-40,40,0,-398,98
KAPPA_CYCLE_36,kappa|P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1|c4,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,P10_BEFORE_AFTER_EQ,B_MINUS_A,1,4,paired_cycle_kappa_deg,-0.2930490020216894,-29,29,0,-293,93
KAPPA_CYCLE_36,kappa|P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1|c5,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,P10_BEFORE_AFTER_EQ,B_MINUS_A,1,5,paired_cycle_kappa_deg,-0.22526561807552525,-23,23,0,-225,25
KAPPA_CYCLE_36,kappa|P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1|c6,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,P10_BEFORE_AFTER_EQ,B_MINUS_A,1,6,paired_cycle_kappa_deg,-0.20930893196262446,-21,21,0,-209,9
KAPPA_CYCLE_36,kappa|P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1|c7,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,P10_BEFORE_AFTER_EQ,B_MINUS_A,1,7,paired_cycle_kappa_deg,-0.207474108827995,-21,21,0,-207,7
KAPPA_CYCLE_36,kappa|P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1|c8,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,P10_BEFORE_AFTER_EQ,B_MINUS_A,1,8,paired_cycle_kappa_deg,-0.17496539906281328,-17,17,0,-175,75
KAPPA_CYCLE_36,kappa|P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1|c9,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,P10_BEFORE_AFTER_EQ,B_MINUS_A,1,9,paired_cycle_kappa_deg,-0.12539598784985628,-13,13,0,-125,25
KAPPA_CYCLE_36,kappa|P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a2|c2,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,P10_BEFORE_AFTER_EQ,B_MINUS_A,2,2,paired_cycle_kappa_deg,-0.5415104549768444,-54,54,0,-542,42
KAPPA_CYCLE_36,kappa|P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a2|c3,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,P10_BEFORE_AFTER_EQ,B_MINUS_A,2,3,paired_cycle_kappa_deg,-0.40464589101296156,-40,40,0,-405,5
KAPPA_CYCLE_36,kappa|P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a2|c4,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,P10_BEFORE_AFTER_EQ,B_MINUS_A,2,4,paired_cycle_kappa_deg,-0.2781795515961676,-28,28,0,-278,78
KAPPA_CYCLE_36,kappa|P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a2|c5,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,P10_BEFORE_AFTER_EQ,B_MINUS_A,2,5,paired_cycle_kappa_deg,-0.18156298528714387,-18,18,0,-182,82
KAPPA_CYCLE_36,kappa|P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a2|c6,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,P10_BEFORE_AFTER_EQ,B_MINUS_A,2,6,paired_cycle_kappa_deg,-0.18231807188462312,-18,18,0,-182,82
KAPPA_CYCLE_36,kappa|P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a2|c7,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,P10_BEFORE_AFTER_EQ,B_MINUS_A,2,7,paired_cycle_kappa_deg,-0.1602990783823941,-16,16,0,-160,60
