N,S_valid,S_equal,S_fail,S_undefined,S_rate_valid,S_rate_all,S_smallest_equal,S_smallest_counterexample,R4_fixed_inputs,S_fixed_inputs,both_fixed,S_universal,T_valid,T_equal,T_fail,T_undefined,T_rate_valid,T_rate_all,T_smallest_equal,T_smallest_counterexample,R4_fixed_inputs_T,T_fixed_inputs,both_fixed_T,T_universal
129,10000,5,9995,0,0.0005000000,0.0005000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
130,10000,1,9999,0,0.0001000000,0.0001000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
131,10000,45,9955,0,0.0045000000,0.0045000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
132,10000,74,9926,0,0.0074000000,0.0074000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
133,10000,5,9995,0,0.0005000000,0.0005000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
134,10000,1,9999,0,0.0001000000,0.0001000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
135,10000,5,9995,0,0.0005000000,0.0005000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
136,10000,13,9987,0,0.0013000000,0.0013000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
137,10000,9,9991,0,0.0009000000,0.0009000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
138,10000,30,9970,0,0.0030000000,0.0030000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
139,10000,5,9995,0,0.0005000000,0.0005000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
140,10000,1,9999,0,0.0001000000,0.0001000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
